chembl_id,smiles,standard_value,bioactivity_class,pIC50,MW,LogP,HBD,HBA,TPSA,RotBonds,ArRings,Fsp3,QED,Ro5_violations,Lipinski_pass
CHEMBL65667,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,3800.0,intermediate,5.4202,384.48,2.91,2,7,96.98,3,1,0.786,0.346,0,Pass
CHEMBL431519,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,40.0,active,7.3979,475.2,4.71,2,7,111.5,6,1,0.207,0.849,0,Pass
CHEMBL296429,Cc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],1000000.0,inactive,3.0,319.14,2.35,1,4,59.65,5,1,0.05,0.718,0,Pass
CHEMBL154972,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,73.0,active,7.1367,406.08,2.81,2,7,104.17,3,2,0.259,0.793,0,Pass
CHEMBL152722,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,3100.0,intermediate,5.5086,383.94,2.37,2,7,108.49,1,2,0.682,0.466,0,Pass
CHEMBL544022,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,520000.0,inactive,3.284,357.48,4.15,1,4,61.44,4,1,0.186,0.662,0,Pass
CHEMBL349127,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,4500.0,intermediate,5.3468,369.36,3.12,2,8,113.48,5,0,0.285,0.803,0,Pass
CHEMBL156659,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,1200.0,intermediate,5.9208,354.24,2.06,1,6,68.19,3,2,0.326,0.815,0,Pass
CHEMBL45118,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1.[Cl-],1000000.0,inactive,3.0,362.34,2.61,1,5,84.44,2,1,0.026,0.664,0,Pass
CHEMBL542609,Cc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1.Cl,1000000.0,inactive,3.0,306.18,2.18,1,4,54.93,1,1,0.353,0.792,0,Pass
CHEMBL155322,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,540.0,active,6.2676,367.2,3.66,2,7,109.23,6,0,0.111,0.859,0,Pass
CHEMBL154211,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,30.0,active,7.5229,354.24,3.77,2,7,118.09,3,0,0.253,0.512,0,Pass
CHEMBL1203537,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,830.0,active,6.0809,379.62,4.55,2,7,138.23,3,0,0.32,0.644,0,Pass
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,20000.0,inactive,4.699,299.7,1.92,1,5,60.04,1,1,0.261,0.775,0,Pass
CHEMBL47375,COc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],1000000.0,inactive,3.0,336.42,2.45,1,5,73.6,5,1,0.106,0.75,0,Pass
CHEMBL542360,CN(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,1000000.0,inactive,3.0,331.56,3.28,1,4,54.34,4,1,0.584,0.681,0,Pass
CHEMBL345849,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,390.0,active,6.4089,371.52,2.85,2,8,115.69,5,0,0.327,0.793,0,Pass
CHEMBL154689,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,390.0,active,6.4089,315.36,2.58,2,7,104.24,4,0,0.722,0.701,0,Pass
CHEMBL346733,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,430.0,active,6.3665,328.32,3.06,2,7,100.99,2,0,0.491,0.791,0,Pass
CHEMBL416464,COc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1,1000000.0,inactive,3.0,285.12,0.93,1,5,69.67,0,1,0.256,0.754,0,Pass
CHEMBL1203539,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,600.0,active,6.2218,379.62,4.2,2,7,98.2,3,0,0.525,0.28,0,Pass
CHEMBL347729,CN(C)Cc1ccc(CNCCN2CCN/C2=C\[N+](=O)[O-])o1,2000.0,intermediate,5.699,308.88,1.11,2,8,127.57,3,0,0.219,0.581,0,Pass
CHEMBL296786,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],1000000.0,inactive,3.0,370.44,4.55,1,4,60.44,2,1,0.813,0.891,0,Pass
CHEMBL63173,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,21000.0,inactive,4.6778,397.44,3.49,2,7,113.38,3,1,0.386,0.622,0,Pass
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,290.0,active,6.5376,352.08,3.41,1,5,66.27,3,1,0.082,0.846,0,Pass
CHEMBL292788,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,700.0,active,6.1549,371.52,2.44,2,7,107.06,2,1,0.457,0.827,0,Pass
CHEMBL33051,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],460000.0,inactive,3.3372,370.44,1.97,1,7,92.3,3,2,0.722,0.795,0,Pass
CHEMBL155392,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,630.0,active,6.2007,302.4,1.69,2,7,100.69,1,0,0.158,0.637,0,Pass
CHEMBL153311,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,2100.0,intermediate,5.6778,354.24,3.69,2,7,107.14,4,0,0.349,0.779,0,Pass
CHEMBL543546,CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C.Cl,330000.0,inactive,3.4815,383.4,5.21,1,4,53.12,4,1,0.28,0.896,1,Pass
CHEMBL1420,C[n+]1ccccc1C=NO,340000.0,inactive,3.4685,138.24,-0.02,0,3,22.88,2,1,0.592,0.914,0,Pass
CHEMBL556172,CCN(CC)CCS/C(=N\O)C(=O)c1ccccc1.Cl,1000000.0,inactive,3.0,319.14,3.05,1,4,43.12,1,1,0.722,0.372,0,Pass
CHEMBL154263,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,290.0,active,6.5376,367.2,3.91,2,7,120.71,4,0,0.292,0.856,0,Pass
CHEMBL544669,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,210000.0,inactive,3.6778,405.54,2.56,1,4,54.51,1,1,0.237,0.415,0,Pass
CHEMBL62664,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,40.0,active,7.3979,488.16,5.76,2,7,119.31,4,1,0.344,0.611,1,Pass
CHEMBL155111,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,80.0,active,7.0969,341.28,3.56,2,7,118.55,5,0,0.379,0.562,0,Pass
CHEMBL1203534,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,95.0,active,7.0223,392.58,4.79,2,7,99.71,4,0,0.272,0.766,0,Pass
CHEMBL541044,CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,710000.0,inactive,3.1487,379.62,2.52,1,4,51.29,0,1,0.489,0.94,0,Pass
CHEMBL543779,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.Cl,180000.0,inactive,3.7447,347.22,2.01,1,5,90.48,2,1,0.236,0.532,0,Pass
CHEMBL155495,CNC(NCCNCc1ccc(COC)o1)=C(C#N)C#N,20000.0,inactive,4.699,291.6,1.85,2,7,124.01,1,0,0.245,0.519,0,Pass
CHEMBL64011,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,60.0,active,7.2218,462.24,4.98,2,7,109.75,7,1,0.289,0.749,0,Pass
CHEMBL65585,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,70.0,active,7.1549,501.12,5.91,2,7,112.06,6,1,0.062,0.398,2,Fail
CHEMBL347539,CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,280.0,active,6.5528,328.32,2.78,2,7,104.95,2,0,0.635,0.764,0,Pass
CHEMBL154433,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1,11000.0,inactive,4.9586,358.56,2.1,2,8,123.46,4,0,0.369,0.617,0,Pass
CHEMBL157208,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,1500.0,intermediate,5.8239,375.84,3.03,2,7,104.26,3,0,0.679,0.541,0,Pass
CHEMBL1790041,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,650.0,active,6.1871,315.36,1.26,2,7,93.74,5,0,0.098,0.777,0,Pass
CHEMBL65356,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,930.0,active,6.0315,423.36,4.34,2,7,99.43,5,1,0.402,0.707,0,Pass
CHEMBL154366,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,370.0,active,6.4318,367.2,3.64,2,7,110.17,4,0,0.068,0.706,0,Pass
CHEMBL153821,CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,4500.0,intermediate,5.3468,380.16,3.91,2,7,100.95,4,0,0.408,0.831,0,Pass
CHEMBL416644,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],720000.0,inactive,3.1427,352.62,3.09,1,4,59.46,3,1,0.142,0.913,0,Pass
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,30.0,active,7.5229,274.32,1.72,1,5,61.4,2,1,0.15,0.308,0,Pass
CHEMBL303574,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7600.0,intermediate,5.1192,410.4,3.65,2,7,103.74,3,1,0.409,0.674,0,Pass
CHEMBL65018,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,80.0,active,7.0969,449.28,4.44,2,7,116.83,4,1,0.342,0.893,0,Pass
CHEMBL296277,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.[Cl-],1000000.0,inactive,3.0,360.18,3.3,1,5,71.98,3,1,0.158,0.855,0,Pass
CHEMBL66309,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,380.0,active,6.4202,436.32,4.28,2,7,109.92,6,1,0.247,0.728,0,Pass
CHEMBL1203535,COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1.Cl,3300.0,intermediate,5.4815,422.82,5.04,2,8,127.03,3,0,0.389,0.531,1,Pass
CHEMBL296560,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.[I-],1000000.0,inactive,3.0,491.4,0.84,1,4,63.84,2,1,0.241,0.791,0,Pass
CHEMBL152260,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,370.0,active,6.4318,371.52,2.95,2,8,131.57,3,0,0.243,0.375,0,Pass
CHEMBL154950,C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,9300.0,intermediate,5.0315,345.6,1.38,2,7,106.32,4,1,0.547,0.91,0,Pass
CHEMBL296669,CN(C)CCCS/C(=N\O)C(=O)c1ccc(Br)cc1.O=C(O)C(=O)O,1000000.0,inactive,3.0,449.28,-0.29,2,8,116.56,4,1,0.783,0.336,0,Pass
CHEMBL1203538,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,120.0,active,6.9208,405.54,5.24,2,7,99.59,6,0,0.437,0.279,1,Pass
CHEMBL19060,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,7244.36,intermediate,5.14,578.88,5.08,2,6,96.57,6,2,0.525,0.52,2,Fail
CHEMBL422977,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,4466.84,intermediate,5.35,548.64,6.05,2,6,107.72,5,2,0.437,0.932,2,Fail
CHEMBL11805,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,169.82,active,6.77,648.0,6.93,2,8,130.4,9,2,0.22,0.721,2,Fail
CHEMBL302179,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,6456.54,intermediate,5.19,535.68,5.28,2,6,107.68,5,2,0.282,0.853,2,Fail
CHEMBL27673,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,5370.32,intermediate,5.27,561.6,6.27,2,6,85.65,5,2,0.237,0.707,2,Fail
CHEMBL132377,COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,309.03,active,6.51,622.08,6.2,2,8,128.67,6,2,0.492,0.795,2,Fail
CHEMBL132133,NCCCCCCNCCSSCCNCCCCCCN,501187.23,inactive,3.3,336.96,4.16,1,4,45.29,4,0,0.379,0.836,0,Pass
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,218.78,active,6.66,198.72,1.05,0,2,27.18,2,1,0.442,0.752,0,Pass
CHEMBL134488,COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,1862.09,intermediate,5.73,596.16,5.72,2,8,117.06,5,2,0.626,0.339,2,Fail
CHEMBL134382,COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,7244.36,intermediate,5.14,522.72,5.92,2,6,105.62,4,2,0.215,0.226,2,Fail
CHEMBL59109,NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,3000.0,intermediate,5.5229,365.04,3.69,0,3,19.34,3,1,0.508,0.288,0,Pass
CHEMBL286990,C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1/C=N/O.[Cl-],10600.0,inactive,4.9747,297.54,1.68,2,8,129.37,6,0,0.313,0.881,0,Pass
CHEMBL294891,C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,400.0,active,6.3979,303.48,3.2,0,3,18.28,4,1,0.785,0.562,0,Pass
CHEMBL395280,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,5.0,active,8.301,241.92,2.22,0,3,24.65,2,1,0.299,0.839,0,Pass
CHEMBL89011,Nc1c2c(nc3ccccc13)-c1ccccc1CO2,245000.0,inactive,3.6108,254.88,-0.36,0,3,22.02,2,3,0.513,0.622,0,Pass
CHEMBL748,C[n+]1ccccc1/C=N/O.[Cl-],366000.0,inactive,3.4365,176.58,1.37,0,3,15.97,3,1,0.424,0.659,0,Pass
CHEMBL50608,Nc1cc(-c2ccccc2)nc2ccccc12,11480.0,inactive,4.9401,224.64,0.44,0,2,20.76,0,3,0.745,0.801,0,Pass
CHEMBL29300,CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O.[Cl-],6800.0,intermediate,5.1675,301.86,1.59,1,7,104.45,3,0,0.557,0.628,0,Pass
CHEMBL27675,C[n+]1ccn(COCCS(C)(=O)=O)c1/C=N/O.[Cl-],26500.0,inactive,4.5768,304.02,1.64,1,7,111.34,4,0,0.42,0.864,0,Pass
CHEMBL435373,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,2000.0,intermediate,5.699,303.48,3.21,0,3,30.78,1,1,0.321,0.489,0,Pass
CHEMBL60167,Nc1c2c(nc3ccccc13)-c1ccccc1C2,676.0,active,6.1701,237.6,-0.3,0,2,28.93,2,3,0.403,0.801,0,Pass
CHEMBL89012,Nc1c2c(nc3ccccc13)-c1ccccc1CC2,2980.0,intermediate,5.5258,250.56,0.74,0,2,21.86,1,3,0.361,0.792,0,Pass
CHEMBL314800,Nc1c2c(nc3ccccc13)-c1ccccc1CS2,18580.0,inactive,4.731,272.16,0.28,0,2,23.99,1,3,0.215,0.853,0,Pass
CHEMBL553212,C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],17900.0,inactive,4.7471,258.66,3.39,1,5,67.26,2,0,0.129,0.447,0,Pass
CHEMBL156630,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,4190.0,intermediate,5.3778,438.48,0.78,1,5,71.56,3,2,0.539,0.494,0,Pass
CHEMBL315013,COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],219.0,active,6.6596,542.16,2.72,1,5,74.3,6,2,0.458,0.39,1,Pass
CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,230.0,active,6.6383,312.66,1.98,1,5,65.37,3,1,0.272,0.704,0,Pass
CHEMBL314658,COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],750.0,active,6.1249,511.92,2.53,1,4,59.38,2,2,0.397,0.702,1,Pass
CHEMBL87170,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,4.6,active,8.3372,425.52,1.56,1,4,59.53,3,3,0.323,0.917,0,Pass
CHEMBL87959,COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-],390.0,active,6.4089,555.12,2.35,1,5,76.61,4,2,0.757,0.2,1,Pass
CHEMBL87295,CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],2570.0,intermediate,5.5901,460.08,1.43,1,4,51.47,2,2,0.345,0.703,0,Pass
CHEMBL82810,COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],40.0,active,7.3979,486.0,2.33,1,4,59.59,3,2,0.155,0.848,0,Pass
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,670.0,active,6.1739,312.66,2.25,1,5,85.3,1,1,0.603,0.515,0,Pass
CHEMBL88049,COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],110.0,active,6.9586,550.8,2.93,1,4,69.31,5,2,0.557,0.461,1,Pass
CHEMBL87128,CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],280.0,active,6.5528,447.12,1.27,1,4,70.79,4,2,0.483,0.418,0,Pass
CHEMBL160219,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,160.0,active,6.7959,365.04,1.08,1,5,70.2,4,2,0.662,0.315,0,Pass
CHEMBL445916,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,230.0,active,6.6383,399.6,2.24,1,5,72.57,4,1,0.376,0.628,0,Pass
CHEMBL85473,COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],19580.0,inactive,4.7082,498.96,1.72,1,4,68.02,3,2,0.199,0.801,0,Pass
CHEMBL314502,COc1cc2cc(C(=O)CCC3CC[N+](C)(CC#N)CC3)sc2cc1OC.[Br-],1000.0,active,6.0,475.2,3.21,1,5,82.48,6,1,0.406,0.747,0,Pass
CHEMBL87320,COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1.[Br-],53.0,active,7.2757,490.32,2.77,1,5,54.39,3,1,0.503,0.766,0,Pass
CHEMBL87280,COC(=O)c1ccc(C[n+]2ccc(CCC(=O)c3cc4cc(OC)c(OC)cc4s3)cc2)cc1,1000.0,active,6.0,486.0,0.7,1,6,69.48,2,3,0.318,0.615,0,Pass
CHEMBL348607,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,3170.0,intermediate,5.4989,399.6,2.34,1,5,80.48,3,1,0.283,0.644,0,Pass
